ID;Active/Reflective;ILS Strength 1;Sensory/Intuitive;ILS Strength 2;Sequential/Global;ILS Strength 3;Visual/Verbal;ILS Strength 4
34;Active;1;Sensory;11;Sequential;7;Visual;9
37;Reflective;1;Sensory;9;Sequential;3;Visual;9
25;Reflective;1;Sensory;7;Global;3;Visual;7
23;Active;5;Sensory;1;Global;1;Visual;9
29;Active;7;Sensory;7;Sequential;3;Visual;11
19;Active;9;Sensory;3;Sequential;1;Visual;7
47;Reflective;1;Sensory;5;Sequential;7;Visual;1
33;Active;1;Sensory;5;Sequential;3;Visual;7
36;Reflective;3;Sensory;7;Sequential;7;Visual;11
30;Reflective;3;Sensory;7;Sequential;3;Visual;7
43;Active;7;Sensory;9;Sequential;1;Visual;9
38;Reflective;9;Intuitive;1;Global;1;Visual;3
46;Active;5;Sensory;9;Sequential;3;Visual;11
41;Active;1;Sensory;9;Global;1;Visual;9
48;Active;3;Sensory;9;Sequential;5;Visual;9
22;Reflective;3;Intuitive;3;Sequential;3;Visual;7
18;Active;5;Sensory;5;Global;3;Visual;9
51;Active;3;Sensory;5;Sequential;1;Visual;5
24;Active;5;Sensory;1;Global;5;Visual;3
49;Active;3;Sensory;5;Global;3;Visual;3
53;Active;5;Sensory;7;Global;7;Visual;3
31;Active;3;Sensory;7;Global;1;Visual;5
